                                                    Concept  PeriodEnd                                                                                                                                                                                                                                             Dims         Value
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                                                                                                                                                                                   9.419300e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                                                                                                                                                                                   8.882100e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                                                                                                                                                                                   8.515900e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                       srt:ProductOrServiceAxis:jnj:UPTRAVIMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:PulmonaryHypertensionMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.070000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                       srt:ProductOrServiceAxis:jnj:UPTRAVIMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:PulmonaryHypertensionMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.550000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                          srt:ProductOrServiceAxis:jnj:UPTRAVIMember; us-gaap:SubsegmentsAxis:jnj:PulmonaryHypertensionMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.902000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                          srt:ProductOrServiceAxis:jnj:UPTRAVIMember; us-gaap:SubsegmentsAxis:jnj:PulmonaryHypertensionMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.817000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                          srt:ProductOrServiceAxis:jnj:UPTRAVIMember; us-gaap:SubsegmentsAxis:jnj:PulmonaryHypertensionMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.582000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28             srt:ProductOrServiceAxis:jnj:OtherPulmonaryHypertensionMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:PulmonaryHypertensionMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  5.400000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29             srt:ProductOrServiceAxis:jnj:OtherPulmonaryHypertensionMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:PulmonaryHypertensionMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  7.500000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31             srt:ProductOrServiceAxis:jnj:OtherPulmonaryHypertensionMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:PulmonaryHypertensionMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  7.900000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28    srt:ProductOrServiceAxis:jnj:OtherPulmonaryHypertensionMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:PulmonaryHypertensionMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.550000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29    srt:ProductOrServiceAxis:jnj:OtherPulmonaryHypertensionMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:PulmonaryHypertensionMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.650000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31    srt:ProductOrServiceAxis:jnj:OtherPulmonaryHypertensionMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:PulmonaryHypertensionMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.820000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                       srt:ProductOrServiceAxis:jnj:OtherPulmonaryHypertensionMember; us-gaap:SubsegmentsAxis:jnj:PulmonaryHypertensionMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.090000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                       srt:ProductOrServiceAxis:jnj:OtherPulmonaryHypertensionMember; us-gaap:SubsegmentsAxis:jnj:PulmonaryHypertensionMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.400000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                       srt:ProductOrServiceAxis:jnj:OtherPulmonaryHypertensionMember; us-gaap:SubsegmentsAxis:jnj:PulmonaryHypertensionMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.600000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                               srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.264000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                               srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.354000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                               srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.500000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                      srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.977000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                      srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.042000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                      srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.918000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                                                         us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember  3.241000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                                                         us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember  3.396000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                                                         us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember  4.418000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                        srt:ProductOrServiceAxis:jnj:EDURANTrilpivirineMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.600000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                        srt:ProductOrServiceAxis:jnj:EDURANTrilpivirineMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.100000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                        srt:ProductOrServiceAxis:jnj:EDURANTrilpivirineMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.500000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28               srt:ProductOrServiceAxis:jnj:EDURANTrilpivirineMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.461000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29               srt:ProductOrServiceAxis:jnj:EDURANTrilpivirineMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.241000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31               srt:ProductOrServiceAxis:jnj:EDURANTrilpivirineMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.115000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                  srt:ProductOrServiceAxis:jnj:EDURANTrilpivirineMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.486000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                  srt:ProductOrServiceAxis:jnj:EDURANTrilpivirineMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.272000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                  srt:ProductOrServiceAxis:jnj:EDURANTrilpivirineMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.150000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28          srt:ProductOrServiceAxis:jnj:PREZISTAPREZCOBIXREZOLSTASYMTUZAMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.226000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29          srt:ProductOrServiceAxis:jnj:PREZISTAPREZCOBIXREZOLSTASYMTUZAMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.311000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31          srt:ProductOrServiceAxis:jnj:PREZISTAPREZCOBIXREZOLSTASYMTUZAMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.446000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28 srt:ProductOrServiceAxis:jnj:PREZISTAPREZCOBIXREZOLSTASYMTUZAMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.530000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29 srt:ProductOrServiceAxis:jnj:PREZISTAPREZCOBIXREZOLSTASYMTUZAMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  4.010000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31 srt:ProductOrServiceAxis:jnj:PREZISTAPREZCOBIXREZOLSTASYMTUZAMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  4.080000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                    srt:ProductOrServiceAxis:jnj:PREZISTAPREZCOBIXREZOLSTASYMTUZAMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.579000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                    srt:ProductOrServiceAxis:jnj:PREZISTAPREZCOBIXREZOLSTASYMTUZAMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.712000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                    srt:ProductOrServiceAxis:jnj:PREZISTAPREZCOBIXREZOLSTASYMTUZAMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.854000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                   srt:ProductOrServiceAxis:jnj:OtherInfectiousDiseasesMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.200000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                   srt:ProductOrServiceAxis:jnj:OtherInfectiousDiseasesMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.100000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                   srt:ProductOrServiceAxis:jnj:OtherInfectiousDiseasesMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.900000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28          srt:ProductOrServiceAxis:jnj:OtherInfectiousDiseasesMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.630000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29          srt:ProductOrServiceAxis:jnj:OtherInfectiousDiseasesMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  4.010000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31          srt:ProductOrServiceAxis:jnj:OtherInfectiousDiseasesMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.395000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                             srt:ProductOrServiceAxis:jnj:OtherInfectiousDiseasesMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.750000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                             srt:ProductOrServiceAxis:jnj:OtherInfectiousDiseasesMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  4.120000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                             srt:ProductOrServiceAxis:jnj:OtherInfectiousDiseasesMember; us-gaap:SubsegmentsAxis:jnj:InfectiousDiseasesMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.414000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                    srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.175000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                    srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.866000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                    srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.906000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                           srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  6.030000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                           srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  6.960000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                           srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  7.650000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                                              us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember  3.778000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                                              us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember  3.562000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                                              us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember  3.671000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                        srt:ProductOrServiceAxis:jnj:XareltoMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.633000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                        srt:ProductOrServiceAxis:jnj:XareltoMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.373000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                        srt:ProductOrServiceAxis:jnj:XareltoMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.365000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                  srt:ProductOrServiceAxis:jnj:XareltoMember; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.633000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                  srt:ProductOrServiceAxis:jnj:XareltoMember; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.373000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                  srt:ProductOrServiceAxis:jnj:XareltoMember; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.365000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                          srt:ProductOrServiceAxis:jnj:OtherMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  5.420000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                          srt:ProductOrServiceAxis:jnj:OtherMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  4.940000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                          srt:ProductOrServiceAxis:jnj:OtherMember; srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  5.410000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                 srt:ProductOrServiceAxis:jnj:OtherMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  6.030000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                 srt:ProductOrServiceAxis:jnj:OtherMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  6.960000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                 srt:ProductOrServiceAxis:jnj:OtherMember; srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  7.650000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                    srt:ProductOrServiceAxis:jnj:OtherMember; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.145000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                    srt:ProductOrServiceAxis:jnj:OtherMember; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.189000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                    srt:ProductOrServiceAxis:jnj:OtherMember; us-gaap:SubsegmentsAxis:jnj:CardiovascularMetabolismOtherMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  1.306000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                                                                     srt:StatementGeographicalAxis:country:US; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.634400e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                                                                     srt:StatementGeographicalAxis:country:US; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.397000e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                                                                     srt:StatementGeographicalAxis:country:US; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  3.116900e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                                                            srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.405700e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                                                            srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.299400e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                                                            srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  2.359000e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                                                                                                               us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  6.040100e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                                                                                                               us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  5.696400e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                                                                                                               us-gaap:StatementBusinessSegmentsAxis:jnj:InnovativeMedicineMember  5.475900e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                              srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:CardiovascularMember; us-gaap:StatementBusinessSegmentsAxis:jnj:MedTechMember  5.305000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                              srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:CardiovascularMember; us-gaap:StatementBusinessSegmentsAxis:jnj:MedTechMember  4.513000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                              srt:StatementGeographicalAxis:country:US; us-gaap:SubsegmentsAxis:jnj:CardiovascularMember; us-gaap:StatementBusinessSegmentsAxis:jnj:MedTechMember  3.633000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2025-12-28                                                                                     srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:CardiovascularMember; us-gaap:StatementBusinessSegmentsAxis:jnj:MedTechMember  3.623000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-29                                                                                     srt:StatementGeographicalAxis:us-gaap:NonUsMember; us-gaap:SubsegmentsAxis:jnj:CardiovascularMember; us-gaap:StatementBusinessSegmentsAxis:jnj:MedTechMember  3.194000e+09
